vote_2020,gender,census_region,education,state,age,vote_trump,sex,educd,statefip,vote_biden,sex1
Donald Trump,Female,Midwest,Associate Degree,WI,49,1,0,Associate Degree,WI,0,2
I am not sure/don't know,Female,South,"College Degree (such as B.A., B.S.)",VA,39,0,0,"College Degree (such as B.A., B.S.)",VA,0,2
Donald Trump,Female,South,"College Degree (such as B.A., B.S.)",VA,46,1,0,"College Degree (such as B.A., B.S.)",VA,0,2
Donald Trump,Female,South,High school graduate,TX,75,1,0,High school graduate,TX,0,2
Donald Trump,Female,West,High school graduate,WA,52,1,0,High school graduate,WA,0,2
I would not vote,Female,Midwest,Other post high school vocational training,OH,44,0,0,Other post high school vocational training,OH,0,2
Joe Biden,Female,Northeast,"Completed some college, but no degree",MA,21,0,0,"Completed some college, but no degree",MA,1,2
Joe Biden,Female,South,"Completed some college, but no degree",TX,38,0,0,"Completed some college, but no degree",TX,1,2
Donald Trump,Female,West,"Completed some college, but no degree",CA,69,1,0,"Completed some college, but no degree",CA,0,2
Donald Trump,Female,South,"College Degree (such as B.A., B.S.)",NC,59,1,0,"College Degree (such as B.A., B.S.)",NC,0,2
I am not sure/don't know,Female,Midwest,Masters degree,OH,51,0,0,Masters degree,OH,0,2
Donald Trump,Female,South,"Completed some graduate, but no degree",MD,74,1,0,"Completed some graduate, but no degree",MD,0,2
Joe Biden,Female,South,"Completed some college, but no degree",FL,55,0,0,"Completed some college, but no degree",FL,1,2
Donald Trump,Female,South,Other post high school vocational training,WV,62,1,0,Other post high school vocational training,WV,0,2
Joe Biden,Female,Midwest,High school graduate,OH,42,0,0,High school graduate,OH,1,2
Joe Biden,Female,Northeast,"College Degree (such as B.A., B.S.)",NY,81,0,0,"College Degree (such as B.A., B.S.)",NY,1,2
Joe Biden,Female,South,"Completed some college, but no degree",KY,22,0,0,"Completed some college, but no degree",KY,1,2
Donald Trump,Female,South,"College Degree (such as B.A., B.S.)",FL,73,1,0,"College Degree (such as B.A., B.S.)",FL,0,2
Donald Trump,Male,Midwest,"College Degree (such as B.A., B.S.)",IN,71,1,1,"College Degree (such as B.A., B.S.)",IN,0,1
Joe Biden,Female,Midwest,High school graduate,MI,63,0,0,High school graduate,MI,1,2
Joe Biden,Male,West,"College Degree (such as B.A., B.S.)",WA,41,0,1,"College Degree (such as B.A., B.S.)",WA,1,1
Donald Trump,Female,Midwest,"Completed some graduate, but no degree",IA,71,1,0,"Completed some graduate, but no degree",IA,0,2
Joe Biden,Female,West,"Completed some college, but no degree",CA,60,0,0,"Completed some college, but no degree",CA,1,2
Donald Trump,Female,South,"College Degree (such as B.A., B.S.)",SC,55,1,0,"College Degree (such as B.A., B.S.)",SC,0,2
Joe Biden,Male,Midwest,Associate Degree,MN,68,0,1,Associate Degree,MN,1,1
Donald Trump,Female,South,"Completed some college, but no degree",GA,69,1,0,"Completed some college, but no degree",GA,0,2
Donald Trump,Female,Northeast,Masters degree,PA,33,1,0,Masters degree,PA,0,2
Joe Biden,Female,Northeast,"College Degree (such as B.A., B.S.)",NJ,70,0,0,"College Degree (such as B.A., B.S.)",NJ,1,2
Donald Trump,Female,South,Associate Degree,VA,32,1,0,Associate Degree,VA,0,2
Donald Trump,Female,South,"Completed some college, but no degree",SC,77,1,0,"Completed some college, but no degree",SC,0,2
Donald Trump,Female,South,Associate Degree,TX,65,1,0,Associate Degree,TX,0,2
Joe Biden,Female,South,"Completed some college, but no degree",FL,22,0,0,"Completed some college, but no degree",FL,1,2
I would not vote,Female,Northeast,Middle School - Grades 4 - 8,NY,47,0,0,Middle School - Grades 4 - 8,NY,0,2
Joe Biden,Female,West,Masters degree,AZ,63,0,0,Masters degree,AZ,1,2
Joe Biden,Male,Midwest,Masters degree,IL,79,0,1,Masters degree,IL,1,1
Donald Trump,Male,Midwest,"Completed some college, but no degree",OH,70,1,1,"Completed some college, but no degree",OH,0,1
Joe Biden,Female,Midwest,Masters degree,OH,54,0,0,Masters degree,OH,1,2
Joe Biden,Male,West,"Completed some college, but no degree",CA,72,0,1,"Completed some college, but no degree",CA,1,1
Donald Trump,Female,South,Completed some high school,FL,40,1,0,Completed some high school,FL,0,2
Joe Biden,Female,South,"College Degree (such as B.A., B.S.)",NC,69,0,0,"College Degree (such as B.A., B.S.)",NC,1,2
Joe Biden,Male,South,"College Degree (such as B.A., B.S.)",TX,37,0,1,"College Degree (such as B.A., B.S.)",TX,1,1
Joe Biden,Female,South,Doctorate degree,FL,36,0,0,Doctorate degree,FL,1,2
I am not sure/don't know,Female,Northeast,Other post high school vocational training,NY,54,0,0,Other post high school vocational training,NY,0,2
Joe Biden,Female,South,"College Degree (such as B.A., B.S.)",TX,40,0,0,"College Degree (such as B.A., B.S.)",TX,1,2
Joe Biden,Female,Northeast,"College Degree (such as B.A., B.S.)",NJ,41,0,0,"College Degree (such as B.A., B.S.)",NJ,1,2
I am not sure/don't know,Female,South,Completed some high school,AR,57,0,0,Completed some high school,AR,0,2
I am not sure/don't know,Female,South,Completed some high school,OK,64,0,0,Completed some high school,OK,0,2
Someone else,Female,West,Completed some high school,NV,39,0,0,Completed some high school,NV,0,2
Joe Biden,Female,South,"Completed some college, but no degree",FL,19,0,0,"Completed some college, but no degree",FL,1,2
I am not sure/don't know,Female,South,"Completed some college, but no degree",FL,50,0,0,"Completed some college, but no degree",FL,0,2
Someone else,Female,South,"College Degree (such as B.A., B.S.)",TX,26,0,0,"College Degree (such as B.A., B.S.)",TX,0,2
Joe Biden,Female,West,Completed some high school,CA,30,0,0,Completed some high school,CA,1,2
Someone else,Female,Northeast,"College Degree (such as B.A., B.S.)",NY,51,0,0,"College Degree (such as B.A., B.S.)",NY,0,2
Donald Trump,Female,West,"Completed some college, but no degree",OR,72,1,0,"Completed some college, but no degree",OR,0,2
Donald Trump,Female,Northeast,"College Degree (such as B.A., B.S.)",PA,55,1,0,"College Degree (such as B.A., B.S.)",PA,0,2
Joe Biden,Female,Northeast,"College Degree (such as B.A., B.S.)",PA,80,0,0,"College Degree (such as B.A., B.S.)",PA,1,2
Joe Biden,Female,South,"Completed some college, but no degree",NC,66,0,0,"Completed some college, but no degree",NC,1,2
Donald Trump,Female,South,Other post high school vocational training,TX,40,1,0,Other post high school vocational training,TX,0,2
I am not sure/don't know,Female,West,Completed some high school,CA,23,0,0,Completed some high school,CA,0,2
Donald Trump,Male,South,Masters degree,VA,31,1,1,Masters degree,VA,0,1
Donald Trump,Male,Midwest,Masters degree,OH,69,1,1,Masters degree,OH,0,1
Joe Biden,Female,West,"Completed some graduate, but no degree",CA,31,0,0,"Completed some graduate, but no degree",CA,1,2
Joe Biden,Female,Midwest,Masters degree,IL,51,0,0,Masters degree,IL,1,2
Donald Trump,Female,South,"Completed some graduate, but no degree",NC,78,1,0,"Completed some graduate, but no degree",NC,0,2
Joe Biden,Female,Midwest,Other post high school vocational training,MI,58,0,0,Other post high school vocational training,MI,1,2
Someone else,Female,Northeast,High school graduate,PA,70,0,0,High school graduate,PA,0,2
Joe Biden,Female,West,Masters degree,CA,19,0,0,Masters degree,CA,1,2
Joe Biden,Female,Midwest,"Completed some college, but no degree",MI,41,0,0,"Completed some college, but no degree",MI,1,2
Joe Biden,Male,Northeast,Completed some high school,CT,39,0,1,Completed some high school,CT,1,1
Donald Trump,Female,South,"College Degree (such as B.A., B.S.)",NC,63,1,0,"College Degree (such as B.A., B.S.)",NC,0,2
Donald Trump,Female,South,"Completed some college, but no degree",DE,69,1,0,"Completed some college, but no degree",DE,0,2
I am not sure/don't know,Female,Midwest,Associate Degree,WI,68,0,0,Associate Degree,WI,0,2
I am not sure/don't know,Male,South,"College Degree (such as B.A., B.S.)",FL,41,0,1,"College Degree (such as B.A., B.S.)",FL,0,1
Donald Trump,Female,Northeast,Associate Degree,CT,73,1,0,Associate Degree,CT,0,2
Donald Trump,Female,South,Masters degree,NC,38,1,0,Masters degree,NC,0,2
Donald Trump,Female,West,Associate Degree,OR,69,1,0,Associate Degree,OR,0,2
Donald Trump,Female,Midwest,Masters degree,IL,61,1,0,Masters degree,IL,0,2
Joe Biden,Female,Northeast,Other post high school vocational training,NJ,19,0,0,Other post high school vocational training,NJ,1,2
I am not sure/don't know,Female,South,"Completed some college, but no degree",TX,72,0,0,"Completed some college, but no degree",TX,0,2
Donald Trump,Female,West,Masters degree,CA,54,1,0,Masters degree,CA,0,2
Donald Trump,Female,South,Associate Degree,NC,72,1,0,Associate Degree,NC,0,2
Joe Biden,Female,South,Masters degree,FL,70,0,0,Masters degree,FL,1,2
Joe Biden,Female,Midwest,"College Degree (such as B.A., B.S.)",IA,53,0,0,"College Degree (such as B.A., B.S.)",IA,1,2
Donald Trump,Female,South,Masters degree,GA,52,1,0,Masters degree,GA,0,2
